SETTLEMENTDATE,TOTALDEMAND,RRP
2019-09-10,8310.240208333333,127.76249999999999
2019-09-11,7997.701249999999,83.03229166666664
2019-09-12,7891.0547916666665,79.74958333333332
2019-09-13,7588.776041666667,112.33625
2019-09-14,7047.497083333332,114.74333333333334
2019-09-15,6758.112708333333,86.28687500000001
2019-09-16,7418.847916666665,98.2983333333333
2019-09-17,8596.065,132.16062499999995
2019-09-18,8185.376249999998,127.658125
2019-09-19,7732.024999999998,83.00937499999998
2019-09-20,7461.552708333334,78.67875000000001
2019-09-21,6934.425416666668,78.97416666666666
2019-09-22,6606.638125,79.22416666666666
2019-09-23,7297.02520833333,86.81625000000001
2019-09-24,7443.437500000001,123.44479166666666
2019-09-25,7462.665416666667,171.67875
2019-09-26,7507.738541666666,130.56812500000004
2019-09-27,7219.507291666668,89.03645833333333
2019-09-28,6799.936666666668,121.10354166666669
2019-09-29,6658.626666666667,82.29020833333335
2019-09-30,7498.275833333334,103.43124999999999
2019-10-01,7516.411666666668,121.08229166666666
2019-10-02,7284.2695833333355,112.76187500000003
2019-10-03,7377.972500000001,111.08916666666666
2019-10-04,7304.133541666666,126.09520833333335
2019-10-05,6950.078333333332,92.68541666666668
2019-10-06,6558.404166666667,59.078125
2019-10-07,6638.0268750000005,91.00374999999998
2019-10-08,7345.208749999999,124.88416666666664
2019-10-09,7284.4000000000015,119.62333333333329
2019-10-10,7313.322083333335,158.28624999999994
2019-10-11,7500.9529166666625,113.13958333333335
2019-10-12,7251.477708333335,109.40562500000003
2019-10-13,6772.818958333334,91.405625
2019-10-14,7302.271666666667,108.35104166666667
2019-10-15,7310.072083333333,105.82229166666666
2019-10-16,7445.292708333331,100.84270833333335
2019-10-17,7260.325208333333,79.119375
2019-10-18,7018.238333333334,72.99291666666664
2019-10-19,6634.948958333333,71.67291666666667
2019-10-20,6477.165000000002,71.39708333333333
2019-10-21,7224.818958333336,100.73104166666671
2019-10-22,7282.838333333332,100.18625000000002
2019-10-23,7396.582291666665,88.47208333333337
2019-10-24,7602.246666666669,80.03312499999998
